Entry,Titel,Dag,DAG,Maand,MAAND,Jaar,URL_full,URL_cut_out,keywords
64,Leeuwarder courant,18,18,09,9,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586014:mpeg21:p006:image&coords=ddd:010586014:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586014:mpeg21:p006:image&coords=ddd:010586014:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0934339292548&x=2066&h=2000&y=2374,"['eerste*', 'hypothe*', 'hypothe*b*', 'Hypothe*r', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
65,Leeuwarder courant,04,4,10,10,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586021:mpeg21:p003:image&coords=ddd:010586021:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586021:mpeg21:p003:image&coords=ddd:010586021:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2992&h=2000&y=238,"['eerste*', 'hypothe*', 'Hypothe*r', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
66,Leeuwarder courant,14,14,10,10,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586025:mpeg21:p003:image&coords=ddd:010586025:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586025:mpeg21:p003:image&coords=ddd:010586025:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0871928680148&x=2009&h=2000&y=1840,"['eerste*', 'hypothe*', 'onderpa*', 'Pandbrie*', 'soli*d*']"
67,Leeuwarder courant,18,18,10,10,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586027:mpeg21:p004:image&coords=ddd:010586027:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586027:mpeg21:p004:image&coords=ddd:010586027:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0688899577788&x=119&h=2000&y=1992,"['bil*k*', 'rente*']"
68,Leeuwarder courant,25,25,10,10,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586030:mpeg21:p002:image&coords=ddd:010586030:mpeg21:p002:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586030:mpeg21:p002:image&coords=ddd:010586030:mpeg21:p002:alto&w=1000&colour=fefe56&s=1.0972130787799&x=114&h=2000&y=4047,"['Hypothe*r', 'onderpa*', 'soli*d*', 'verban*']"
69,Leeuwarder courant,04,4,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586034:mpeg21:p008:image&coords=ddd:010586034:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586034:mpeg21:p008:image&coords=ddd:010586034:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.1516093741003&x=3229&h=2000&y=1558,"['gevr*g*', 'rente*', 'tegen']"
70,Leeuwarder courant,06,6,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586035:mpeg21:p003:image&coords=ddd:010586035:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586035:mpeg21:p003:image&coords=ddd:010586035:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0834823121513&x=2994&h=2000&y=-150,"['bil*k*', 'rente*']"
71,Leeuwarder courant,11,11,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586037:mpeg21:p007:image&coords=ddd:010586037:mpeg21:p007:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586037:mpeg21:p007:image&coords=ddd:010586037:mpeg21:p007:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2040&h=2000&y=2783,"['bil*k*', 'hypothe*', 'le', 'rente*']"
72,Leeuwarder courant,11,11,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586037:mpeg21:p008:image&coords=ddd:010586037:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586037:mpeg21:p008:image&coords=ddd:010586037:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.0737102056155&x=118&h=2000&y=2264,"['hypothe*', 'hypothe*b*', 'le']"
73,Leeuwarder courant,13,13,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586038:mpeg21:p004:image&coords=ddd:010586038:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586038:mpeg21:p004:image&coords=ddd:010586038:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1112963271656&x=1130&h=2000&y=4024,"['Hypothe*r', 'Pandbrie*', 'verban*']"
